id,thread_id,sender_id,type,content,file_name,mime_type,file_size,status,created_at,raw_json
people_0__people_3_2,people_0__people_3,people_3,text,"Ok Kiều Anh, có gì cần hỗ trợ thì cập nhật tiếp trong thread này nhé.",,,,read,2026-04-07T02:15:00.000Z,"{""_id"":""people_0__people_3_2"",""threadId"":""people_0__people_3"",""senderId"":""people_3"",""type"":""text"",""content"":""Ok Kiều Anh, có gì cần hỗ trợ thì cập nhật tiếp trong thread này nhé."",""status"":""read"",""createdAt"":""2026-04-07T02:15:00.000Z""}"
people_0__people_3_1,people_0__people_3,people_0,text,"Chào Minh Hiếu, mình đang cập nhật tiến độ task hôm nay.",,,,read,2026-04-07T02:00:00.000Z,"{""_id"":""people_0__people_3_1"",""threadId"":""people_0__people_3"",""senderId"":""people_0"",""type"":""text"",""content"":""Chào Minh Hiếu, mình đang cập nhật tiến độ task hôm nay."",""status"":""read"",""createdAt"":""2026-04-07T02:00:00.000Z""}"
people_generated_1775555993012__people_generated_1775642560327_1775642716689,people_generated_1775555993012__people_generated_1775642560327,people_generated_1775555993012,text,alooo,,,,read,2026-04-08T10:05:16.689Z,"{""_id"":""people_generated_1775555993012__people_generated_1775642560327_1775642716689"",""threadId"":""people_generated_1775555993012__people_generated_1775642560327"",""senderId"":""people_generated_1775555993012"",""type"":""text"",""content"":""alooo"",""status"":""read"",""createdAt"":""2026-04-08T10:05:16.689Z""}"
people_generated_1775555993012__people_generated_1775642560327_1775642995816,people_generated_1775555993012__people_generated_1775642560327,people_generated_1775555993012,text,hello,,,,read,2026-04-08T10:09:55.816Z,"{""_id"":""people_generated_1775555993012__people_generated_1775642560327_1775642995816"",""threadId"":""people_generated_1775555993012__people_generated_1775642560327"",""senderId"":""people_generated_1775555993012"",""type"":""text"",""content"":""hello"",""status"":""read"",""createdAt"":""2026-04-08T10:09:55.816Z""}"
people_generated_1775555993012__people_generated_1775642560327_1775643005848,people_generated_1775555993012__people_generated_1775642560327,people_generated_1775555993012,text,hello,,,,read,2026-04-08T10:10:05.848Z,"{""_id"":""people_generated_1775555993012__people_generated_1775642560327_1775643005848"",""threadId"":""people_generated_1775555993012__people_generated_1775642560327"",""senderId"":""people_generated_1775555993012"",""type"":""text"",""content"":""hello"",""status"":""read"",""createdAt"":""2026-04-08T10:10:05.848Z""}"
people_generated_1775555993012__people_generated_1775642560327_1775643310986,people_generated_1775555993012__people_generated_1775642560327,people_generated_1775555993012,text,hú hú,,,,read,2026-04-08T10:15:10.985Z,"{""_id"":""people_generated_1775555993012__people_generated_1775642560327_1775643310986"",""threadId"":""people_generated_1775555993012__people_generated_1775642560327"",""senderId"":""people_generated_1775555993012"",""type"":""text"",""content"":""hú hú"",""status"":""read"",""createdAt"":""2026-04-08T10:15:10.985Z""}"
people_generated_1775555993012__people_generated_1775642560327_1775643628895,people_generated_1775555993012__people_generated_1775642560327,people_generated_1775642560327,text,dje,,,,read,2026-04-08T10:20:28.895Z,"{""_id"":""people_generated_1775555993012__people_generated_1775642560327_1775643628895"",""threadId"":""people_generated_1775555993012__people_generated_1775642560327"",""senderId"":""people_generated_1775642560327"",""type"":""text"",""content"":""dje"",""status"":""read"",""createdAt"":""2026-04-08T10:20:28.895Z""}"
people_generated_1775555993012__people_generated_1775642560327_1775643640975,people_generated_1775555993012__people_generated_1775642560327,people_generated_1775642560327,text,ke,,,,read,2026-04-08T10:20:40.975Z,"{""_id"":""people_generated_1775555993012__people_generated_1775642560327_1775643640975"",""threadId"":""people_generated_1775555993012__people_generated_1775642560327"",""senderId"":""people_generated_1775642560327"",""type"":""text"",""content"":""ke"",""status"":""read"",""createdAt"":""2026-04-08T10:20:40.975Z""}"
people_generated_1777001894147__people_generated_1777001980137_1777002763479,people_generated_1777001894147__people_generated_1777001980137,people_generated_1777001894147,text,.,,,,read,2026-04-24T03:52:43.479Z,"{""_id"":""people_generated_1777001894147__people_generated_1777001980137_1777002763479"",""threadId"":""people_generated_1777001894147__people_generated_1777001980137"",""senderId"":""people_generated_1777001894147"",""type"":""text"",""content"":""."",""fileName"":null,""mimeType"":null,""fileSize"":null,""status"":""read"",""createdAt"":""2026-04-24T03:52:43.479Z""}"
people_generated_1777001894147__people_generated_1777001980137_1777002786659,people_generated_1777001894147__people_generated_1777001980137,people_generated_1777001980137,text,che cosa?,,,,read,2026-04-24T03:53:06.659Z,"{""_id"":""people_generated_1777001894147__people_generated_1777001980137_1777002786659"",""threadId"":""people_generated_1777001894147__people_generated_1777001980137"",""senderId"":""people_generated_1777001980137"",""type"":""text"",""content"":""che cosa?"",""fileName"":null,""mimeType"":null,""fileSize"":null,""status"":""read"",""createdAt"":""2026-04-24T03:53:06.659Z""}"
